1 | Title | Definition | No
9910 | NarrativeText | Because barbiturates work on the central nervous system, they may add to the effects of alcohol and other drugs that slow the central nervous system, such as anti- histamines, cold medicine, allergy medicine, sleep aids, medicine for seizures, tranquilizers, some pain relievers, and muscle relaxants. They may also add to the effects of anesthetics, including those used for dental proce- dures. The combined effects of barbiturates and alcohol or other CNS depressants (drugs that slow the central nervous system) can be very dangerous, leading to unconsciousness or even death. Anyone taking barbitu- rates should not drink alcohol and should check with his or her physician before taking any medicines classified as CNS depressants. | No
9911 | NarrativeText | Taking an overdose of barbiturates or combining barbiturates with alcohol or other central nervous system depressants can cause unconsciousness and even death. Anyone who shows signs of an overdose or a reaction to combining barbiturates with alcohol or other drugs should get emergency medical help immediately. Signs include: * severe drowsiness + breathing problems | No
9912 | ListItem | slurred speech * staggering | No
9913 | ListItem | * slow heartbeat * severe confusion | No
9914 | ListItem | * severe weakness Barbiturates may change the results of certain med- ical tests. Before having medical tests, anyone taking this medicine should alert the health care professional in charge. | No
9915 | NarrativeText | People may feel drowsy, dizzy, lightheaded, or less alert when using these drugs. These effects may even occur the morning after taking a barbiturate at bedtime. Because of these possible effects, anyone who takes these drugs should not drive, use machines or do any- thing else that might be dangerous until they have found out how the drugs affect them. | No
9916 | NarrativeText | Barbiturates may cause physical or mental depen- dence when taken over long periods. Anyone who shows these signs of dependence should check with his or her physician right away: + the need to take larger and larger doses of the medicine to get the same effect * a strong desire to keep taking the medicine | No
9917 | ListItem | * withdrawal symptoms, such as anxiety, nausea or vom- iting, convulsions, trembling, or sleep problems, when the medicine is stopped Children may be especially sensitive to barbiturates. This may increase the chance of side effects such as unusual excitement. | No
9918 | NarrativeText | Older people may also be more sensitive that others to the effects of this medicine. In older people, barbitu- rates may be more likely to cause confusion, depression, and unusual excitement. These effects are also more like- ly in people who are very ill. | No
9919 | Title | Special conditions | No
9920 | NarrativeText | People with certain medical conditions or who are taking certain other medicines can have problems if they take barbiturates. Before taking these drugs, be sure to let the physician know about any of these conditions: ALLERGIES. Anyone who has had unusual reactions to barbiturates in the past should let his or her physician know before taking the drugs again. The physician should also be told about any allergies to foods, dyes, preservatives, or other substances. | No
9921 | NarrativeText | PREGNANCY. Taking barbiturates during pregnancy increases the chance of birth defects and may cause other problems such as prolonged labor and withdrawal effects in the baby after birth. Pregnant women who must take barbiturates for serious or life-threatening condi- tions should thoroughly discuss with their physicians the benefits and risks of taking this medicine. | No
9922 | NarrativeText | BREASTFEEDING. Barbiturates pass into breast milk and may cause problems such as drowsiness, breathing problems, or slow heartbeat in nursing babies whose mothers take the medicine. Women who are breastfeed- ing should check with their physicians before using bar- biturates. | No
9923 | NarrativeText | OTHER MEDICAL CONDITIONS. Before using barbi- turates, people with any of these medical problems should make sure their physicians are aware of their conditions: « alcohol or drug abuse + depression | No
9924 | ListItem | + hyperactivity (in children) | No
9925 | ListItem | * pain ¢ kidney disease | No
9926 | ListItem | + liver disease + diabetes | No
9927 | ListItem | * overactive thyroid * underactive adrenal gland | No
9928 | ListItem | « chronic lung diseases such as asthma or emphysema * severe anemia | No
9929 | ListItem | * porphyria | No
9930 | Title | 446 | No
9931 | NarrativeText | USE OF CERTAIN MEDICINES. Taking barbiturates with certain other drugs may affect the way the drugs work or may increase the chance of side effects. | No
9932 | Title | Side effects | No
9933 | NarrativeText | The most common side effects are dizziness, light- headedness, drowsiness, and clumsiness or unsteadiness. These problems usually go away as the body adjusts to the drug and do not require medical treatment unless they persist or interfere with normal activities. | No
9934 | NarrativeText | More serious side effects are not common, but may occur. If any of the following side effects occur, check with the physician who prescribed the medicine immediately: + fever * muscle or joint pain | No
9935 | ListItem | + sore throat + chest pain or tightness in the chest | No
9936 | ListItem | * wheezing « skin problems, such as rash, hives, or red, thickened, or scaly skin | No
9937 | ListItem | + bleeding sores on the lips * sores or painful white spots in the mouth | No
9938 | ListItem | « swollen eyelids, face, or lips In addition, check with a physician as soon as possi- ble if confusion, depression, or unusual excitement occur after taking barbiturates. | No
9939 | NarrativeText | Patients who take barbiturates for a long time or at high doses may notice side effects for some time after they stop taking the drug. These effects usually appear within 8-16 hours after the patient stops taking the medi- cine. Check with a physician if these or other trouble- some symptoms occur after stopping treatment with bar- biturates: + dizziness, lightheadedness or faintness * anxiety or restlessness | No
9940 | Title | + hallucinations | No
9941 | ListItem | * vision problems * nausea and vomiting | No
9942 | ListItem | * seizures (convulsions) | No
9943 | ListItem | * muscle twitches or trembling hands * weakness | No
9944 | ListItem | * sleep problems, nightmares, or increased dreaming Other side effects may occur. Anyone who has unusual symptoms during or after treatment with barbitu- rates should get in touch with his or her physician. | No
9945 | Title | KEY TERMS | No
9946 | NarrativeText | Adrenal glands—Two glands located next to the kidneys. The adrenal glands produce the hor- mones epinephrine and norepinephrine and the corticosteroid (cortisone-like) hormones. | No
9947 | NarrativeText | Anemia—A lack of hemoglobin—the compound in blood that carries oxygen from the lungs throughout the body and brings waste carbon diox- ide from the cells to the lungs, where it is released. | No
9948 | NarrativeText | Central nervous system—The brain, spinal cord, and nerves throughout the body. | No
9949 | NarrativeText | Hallucination—A false or distorted perception of objects, sounds, or events that seems real. Hallu- cinations usually result from drugs or mental dis- orders. | No
9950 | NarrativeText | Hypnotic—A medicine that causes sleep. | No
9951 | NarrativeText | Porphyria—A disorder in which porphyrins build up in the blood and urine. | No
